ID,TeamName,BatsmanName,Wicket_Information,Outby_BowlerCatch,Outby_FielderCatch,Outby_Bowled,Outby_LBW,Outby_Runout,Player_RetiredHurt,Player_NotOut,Runs_Scored,Balls_Faced,Fours_hit,Sixes_hit,Strike_Rate,Season/Year,scoreboard_url
6203,Rajasthan Royals,Rahul Tewatia,not out,,,,,,,1,2,3,0,0,66.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-1216518/full-scorecard
6204,Rajasthan Royals,Jofra Archer,not out,,,,,,,1,16,7,1,1,228.57,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/rajasthan-royals-vs-sunrisers-hyderabad-40th-match-1216518/full-scorecard
6205,Chennai Super Kings,Ruturaj Gaikwad,lbw b Boult,,,,1,,,,0,5,0,0,0,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
6206,Chennai Super Kings,Faf du Plessis,c  de Kock b Boult,,1,,,,,,1,7,0,0,14.28,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
6207,Chennai Super Kings,Ambati Rayudu,c  de Kock b Bumrah,,1,,,,,,2,3,0,0,66.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
6208,Chennai Super Kings,Narayan Jagadeesan,c Yadav b Bumrah,,1,,,,,,0,1,0,0,0,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
2081,Chennai Super Kings,Murali Vijay,run out (Pathan/Jayawardene),,,,,1,,,0,0,0,0,,2012,https://www.espncricinfo.com/series/indian-premier-league-2012-520932/delhi-daredevils-vs-chennai-super-kings-11th-match-548316/full-scorecard
6210,Chennai Super Kings,Ravindra Jadeja,c KH Pandya b Boult,,1,,,,,,7,6,1,0,116.66,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
6211,Chennai Super Kings,Sam Curran,b Boult,,,1,,,,,52,47,4,2,110.63,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
6212,Chennai Super Kings,Deepak Chahar,st  de Kock b Chahar,,,,,,,,0,5,0,0,0,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
6213,Chennai Super Kings,Shardul Thakur,c Yadav b Coulter-Nile,,1,,,,,,11,20,0,0,55,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
6214,Chennai Super Kings,Imran Tahir,not out,,,,,,,1,13,10,2,0,130,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/chennai-super-kings-vs-mumbai-indians-41st-match-1216521/full-scorecard
6215,Kolkata Knight Riders,Shubman Gill,c Patel b Nortje,,1,,,,,,9,8,2,0,112.5,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497/full-scorecard
6216,Kolkata Knight Riders,Nitish Rana,c Deshpande b Stoinis,,1,,,,,,81,53,13,1,152.83,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497/full-scorecard
6217,Kolkata Knight Riders,Rahul Tripathi,b Nortje,,,1,,,,,13,12,1,0,108.33,2020-21,https://www.espncricinfo.com/series/ipl-2020-21-1210595/kolkata-knight-riders-vs-delhi-capitals-42nd-match-1216497/full-scorecard
